=== OUVERTURE V11.1 - TEMPS CUMULE ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.317    0.317 ctk_button.py:1(<module>)
        1    0.315    0.315    0.315    0.315 {built-in method _tkinter.create}
        2    0.002    0.001    0.307    0.153 mockup_view.py:1370(build_background)
      742    0.012    0.000    0.306    0.000 document_view.py:5096(_associated_model_id_for_synoptic_item)
        4    0.000    0.000    0.304    0.076 ctk_scrollable_frame.py:102(destroy)
        2    0.001    0.001    0.294    0.147 mockup_view.py:6262(_refresh_sequence)
      694    0.020    0.000    0.247    0.000 ctk_base_class.py:32(__init__)
       96    0.001    0.000    0.233    0.002 ctk_button.py:179(destroy)
      180    0.004    0.000    0.195    0.001 ctk_label.py:211(configure)
        2    0.000    0.000    0.178    0.089 mockup_view.py:3614(_create_fixed_tools_panel)
      176    0.005    0.000    0.162    0.001 document_view.py:2074(thumbnail_path_for_item)
      220    0.002    0.000    0.156    0.001 document_view.py:2363(page_status)
       12    0.000    0.000    0.156    0.013 mockup_view.py:3708(_make_ribbon_tool_button)
    60458    0.143    0.000    0.143    0.000 {method 'getint' of '_tkinter.tkapp' objects}
        2    0.001    0.001    0.116    0.058 mockup_view.py:6154(_install_plan_background)
  114/100    0.001    0.000    0.108    0.001 ctk_button.py:354(configure)
        1    0.000    0.000    0.105    0.105 ctk_base_class.py:1(<module>)
        8    0.000    0.000    0.104    0.013 document_view.py:3417(dashboard_progress)
        4    0.000    0.000    0.102    0.026 mockup_view.py:3074(_create_deleted_history_block)
      200    0.002    0.000    0.101    0.001 document_view.py:5161(_transferred_model_id_for_synoptic_item)
        1    0.000    0.000    0.097    0.097 ctk_image.py:1(<module>)
     6365    0.073    0.000    0.073    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
       24    0.000    0.000    0.068    0.003 ctk_progressbar.py:117(_draw)
      316    0.000    0.000    0.058    0.000 ctk_label.py:157(_update_image)
     2438    0.019    0.000    0.057    0.000 ctk_tk.py:101(_update_dimensions_event)
      694    0.004    0.000    0.054    0.000 ctk_canvas.py:30(__init__)
        2    0.000    0.000    0.052    0.026 mockup_view.py:286(__init__)
        2    0.000    0.000    0.051    0.026 mockup_view.py:10460(_load_data)
        6    0.000    0.000    0.049    0.008 ctk_image.py:111(create_scaled_photo_image)
        6    0.000    0.000    0.049    0.008 ctk_image.py:97(_get_scaled_light_photo_image)
        2    0.000    0.000    0.044    0.022 mockup_view.py:7843(_update_selection_controls)
    63776    0.042    0.000    0.042    0.000 {built-in method _tkinter._flatten}
        2    0.000    0.000    0.040    0.020 document_view.py:3547(show_centre_tab)
     6365    0.039    0.000    0.039    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
        8    0.000    0.000    0.039    0.005 ctk_progressbar.py:22(__init__)
        2    0.000    0.000    0.039    0.019 mockup_view.py:10721(_write_json)
