=== TOP 120 - TEMPS CUMULÉ ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: cumulative time
   List reduced from 1948 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1390    0.059    0.000    0.073    0.000 {built-in method nt.stat}
     2089    0.058    0.000    0.256    0.000 __init__.py:1717(_substitute)
      322    0.055    0.000    0.057    0.000 {built-in method _io.open}
    259/1    0.055    0.000   16.584   16.584 {built-in method builtins.exec}
    26649    0.049    0.000    0.090    0.000 __init__.py:106(_cnfmerge)
      232    0.048    0.000    0.048    0.000 {built-in method _io.open_code}
      232    0.047    0.000    0.047    0.000 {built-in method marshal.loads}
    10195    0.047    0.000    1.039    0.000 __init__.py:1802(_configure)
     1726    0.044    0.000    0.044    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.042    0.011    0.042    0.011 {built-in method PIL._imaging.alpha_composite}
       12    0.036    0.003    0.036    0.003 {built-in method _imp.create_dynamic}
    13766    0.034    0.000    0.063    0.000 __init__.py:63(_stringify)
      206    0.033    0.000    0.033    0.000 {built-in method winreg.OpenKey}
    11881    0.031    0.000    0.034    0.000 __init__.py:1605(_getints)
      134    0.031    0.000    0.031    0.000 {built-in method nt._getfinalpathname}
       36    0.031    0.001    0.031    0.001 {method 'paste' of 'ImagingCore' objects}
     1040    0.026    0.000    1.497    0.001 draw_engine.py:187(__draw_rounded_rect_with_border_font_shapes)
    35953    0.025    0.000    0.025    0.000 {built-in method _tkinter._flatten}
    22979    0.025    0.000    0.087    0.000 __init__.py:1723(getint_event)
     2226    0.024    0.000    0.033    0.000 __init__.py:1664(nametowidget)
      395    0.023    0.000    0.049    0.000 __init__.py:1790(_getconfigure)
    27542    0.023    0.000    0.023    0.000 {method 'search' of 're.Pattern' objects}
     1132    0.023    0.000    0.276    0.000 ctk_canvas.py:103(itemconfig)
2397/1126    0.022    0.000    6.886    0.006 __init__.py:2074(__call__)
       64    0.022    0.000    0.022    0.000 {built-in method PIL._imaging.fill}
     2050    0.021    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
      498    0.021    0.000    0.021    0.000 {method '__exit__' of '_io._IOBase' objects}
     1570    0.021    0.000    0.035    0.000 __init__.py:1683(_register)
    33616    0.020    0.000    0.020    0.000 {method 'splitlist' of '_tkinter.tkapp' objects}
